,Post_codes,Borough,Neighborhood,Latitude,Longitude
0,34022,ABBASAĞA,"ABBASAĞA MAH., CIHANNUMA MAH., SİNANPAŞA MAH.",41.049561,29.006441
1,34330,LEVENT,"KONAKLAR MAH., LEVENT MAH.",41.0818288,29.0183512
2,34335,AKATLAR,AKAT MAH.,41.0856143,29.0256257
3,34337,ETİLER,ETİLER MAH.,41.0870419,29.0372643
4,34340,LEVAZIM,"KÜLTÜR MAH., LEVAZIM MAH., NİSBETİYE MAH., ULUS MAH.",41.06331369999999,29.0183512
5,34342,BEBEK,BEBEK MAH.,41.0777437,29.0416286
6,34345,ARNAVUTKÖY,"ARNAVUTKÖY MAH., KURUÇESME MAH.",41.0674125,29.0431043
7,34347,ORTAKÖY,"MECİDİYE MAH., ORTAKÖY MAH.",41.0539703,29.0270806
8,34349,GAYRETTEPE,"BALMUMCU MAH., DİKİLİTAŞ MAH., GAYRETTEPE MAH., YILDIZ MAH.",41.0641962,29.0067111
9,34357,TÜRKALİ,"MURADİYE MAH., TÜRKALİ MAH., VİŞNEZADE MAH.",41.0476515,29.00161829999999
10,34710,CAFERAĞA,CAFERAĞA MAH.,40.9837196,29.0256257
11,34714,OSMANAĞA,OSMANAĞA MAH.,40.990962,29.026013
12,34716,RASİMPAŞA,RASİMPAŞA MAH.,40.9960665,29.0270806
13,34718,KOŞUYOLU,"ACIBADEM MAH., KOŞUYOLU MAH.",41.0090866,29.0387191
14,34720,FİKİRTEPE,"DUMLUPINAR MAH., FİKİRTEPE MAH.",40.9943025,29.0503567
15,34722,EĞİTİM,"EĞİTİM MAH., HASANPAŞA MAH.",40.9896682,29.0503567
16,34724,FENERYOLU,"FENERYOLU MAH., ZÜHTÜPAŞA MAH.",40.9819573,29.04890199999999
17,34726,FENERBAHÇE,FENERBAHÇE MAH.,40.97428620000001,29.0430833
18,34728,CADDEBOSTAN,CADDEBOSTAN MAH.,40.9679267,29.0619934
19,34730,GÖZTEPE,GÖZTEPE MAH.,40.9771558,29.066357
20,34732,MERDİVENKÖY,MERDİVENKÖY MAH.,40.9864251,29.066357
21,34734,SAHRAYICEDİT,SAHRAYI CEDİT MAH.,40.9831796,29.0823555
22,34736,ONDOKUZMAYIS,19 MAYIS MAH.,40.97462609999999,29.0881728
23,34738,ERENKÖY,ERENKÖY MAH.,40.9731949,29.0765381
24,34740,SUADİYE,SUADİYE MAH.,40.963081,29.0838099
25,34742,KOZYATAĞI,KOZYATAĞI MAH.,40.9691471,29.095444
26,34744,BOSTANCI,BOSTANCI MAH.,40.9583172,29.0968982
