,Neighborhood,District,HouseRent(sqm),Population,# Coffee shops,WalkToSeaside(min),Latitude,Longitude,PeoplePerCoffeeShop
0,19 MAYIS MAH.,Kadikoy,16,30310,8,38,41.0586759,28.9927151,3788.75
1,ABBASAGA MAH.,Besiktas,23,5288,7,15,41.0480102,29.0045285,755.4285714285714
2,CIHANNUMA MAH.,Besiktas,24,3898,25,11,41.0469572,29.0091172,155.92
3,SINANPASA MAH.,Besiktas,24,2534,8,5,41.0430986,29.004656,316.75
4,ACIBADEM MAH.,Kadikoy,18,30549,6,30,41.0021363,29.0387191,5091.5
5,KOSUYOLU MAH.,Kadikoy,17,7839,8,37,40.9894914,29.0318996,979.875
6,AKATLAR MAH.,Besiktas,30,15624,7,37,41.0856143,29.0256257,2232.0
7,ARNAVUTKOY MAH.,Besiktas,31,3933,12,2,41.0684875,29.0416286,327.75
8,KURUCESME MAH.,Besiktas,29,3082,12,1,41.0616299,29.0329,256.8333333333333
9,BALMUMCU MAH.,Besiktas,27,3889,27,32,41.059318,29.0148098,144.03703703703704
10,DIKILITAS MAH.,Besiktas,24,16893,9,31,41.0557351,29.003801,1877.0
11,GAYRETTEPE MAH.,Besiktas,23,14530,8,42,41.06524599999999,29.004118,1816.25
12,YILDIZ MAH.,Besiktas,25,6232,17,5,41.0471495,29.0139863,366.5882352941176
13,BEBEK MAH.,Besiktas,35,5891,21,2,41.0777437,29.0416286,280.5238095238095
14,BOSTANCI MAH.,Kadikoy,16,31450,11,12,40.9583172,29.0968982,2859.090909090909
15,CADDEBOSTAN MAH.,Kadikoy,25,18316,5,5,40.9679267,29.0619934,3663.2
16,CAFERAGA MAH.,Kadikoy,23,23977,18,10,40.989339,29.024401,1332.0555555555557
17,DUMLUPINAR MAH.,Kadikoy,18,10985,18,43,40.9942188,29.05908429999999,610.2777777777778
18,FIKIRTEPE MAH.,Kadikoy,18,9025,17,32,40.9942796,29.0595919,530.8823529411765
19,ERENKOY MAH.,Kadikoy,19,31098,9,15,40.971644,29.077404,3455.3333333333335
20,ETILER MAH.,Besiktas,28,12023,11,23,41.0825341,29.0365047,1093.0
21,EGİTIM MAH.,Kadikoy,16,13438,25,25,40.9896682,29.0503567,537.52
22,HASANPASA MAH.,Kadikoy,17,15577,9,35,40.994725,29.039506,1730.7777777777778
23,FENERBAHCE MAH.,Kadikoy,24,17657,26,10,40.97428620000001,29.0430833,679.1153846153846
24,FENERYOLU MAH.,Kadikoy,18,24488,12,20,40.9819573,29.04890199999999,2040.6666666666667
25,ZUHTUPASA MAH.,Kadikoy,19,8095,6,10,40.983289,29.04064,1349.1666666666667
26,GOZTEPE MAH.,Kadikoy,19,35260,7,23,40.97694,29.0625,5037.142857142857
27,KONAKLAR MAH.,Besiktas,24,15350,11,60,41.0934402,29.0139863,1395.4545454545455
28,LEVENT MAH.,Besiktas,30,3145,8,45,41.0818288,29.0183512,393.125
29,KOZYATAGI MAH.,Kadikoy,17,34164,9,25,40.97079950000001,29.10042009999999,3796.0
30,KULTUR MAH.,Besiktas,30,4925,11,20,41.0732019,29.0329,447.72727272727275
31,LEVAZIM MAH.,Besiktas,28,6142,9,30,41.0671463,29.015869,682.4444444444445
32,NISBETIYE MAH.,Besiktas,28,12435,10,50,41.0717724,29.021261,1243.5
33,ULUS MAH.,Besiktas,31,7159,6,30,41.0632296,29.0270806,1193.1666666666667
34,MECIDIYE MAH.,Besiktas,23,10766,25,8,41.0499732,29.0205722,430.64
35,ORTAKOY MAH.,Besiktas,27,9556,27,10,41.0514685,29.0276586,353.9259259259259
36,MERDIVENKOY MAH.,Kadikoy,15,33166,11,40,40.9864251,29.066357,3015.090909090909
37,MURADIYE MAH.,Besiktas,22,5048,9,15,41.0484504,28.9987081,560.8888888888889
38,TURKALI MAH.,Besiktas,24,10346,13,15,41.0478006,29.0020245,795.8461538461538
39,VISNEZADE MAH.,Besiktas,25,6758,8,7,41.0415031,28.9987081,844.75
40,OSMANAGA MAH.,Kadikoy,21,8466,9,15,40.9907443,29.030673,940.6666666666666
41,RASIMPASA MAH.,Kadikoy,20,14276,9,7,40.9960665,29.0270806,1586.2222222222222
42,SAHRAYI CEDIT MAH.,Kadikoy,15,30833,9,39,40.9831796,29.0823555,3425.8888888888887
43,SUADIYE MAH.,Kadikoy,22,22484,24,15,40.959554,29.081128,936.8333333333334
